id	0	1	cluster
0.0	-7797.317980624535	-1220.56718376793	6.0
1.0	-7992.859320719958	-1202.4079884232526	6.0
2.0	-7996.00084466129	-1198.0666359440531	6.0
3.0	-7998.798567693313	-1250.97992100034	6.0
4.0	-8091.469251831274	-1300.683070755302	6.0
5.0	-8189.255101215698	-1220.2165821707665	6.0
6.0	-8115.792389484622	-1253.3758660402384	6.0
7.0	-8249.115592555214	-1162.6249758280642	6.0
8.0	-8239.402479802207	-1187.4223577971006	6.0
9.0	-8216.534520543717	-1213.1040542397438	6.0
10.0	-8088.655256247253	-1116.571310351868	6.0
11.0	-8114.172855331816	-1161.391208738485	6.0
12.0	-8140.299511318724	-1161.0496900934552	6.0
13.0	-8145.613149569905	-1217.7701017441932	6.0
14.0	-8148.417970512328	-1156.566795927164	6.0
15.0	-8224.253920781439	-1332.7100445591632	6.0
16.0	-8253.246405798638	-1469.8589741571616	6.0
17.0	-8217.758741567935	-1344.0148904766447	6.0
18.0	-8366.916638212959	-1383.6844588763336	6.0
19.0	-8452.61708741111	-1335.5422771827682	6.0
20.0	-8359.931941491819	-1451.728505212384	6.0
21.0	-8341.297357582627	-1477.192133994965	6.0
22.0	-8295.892718913808	-1463.6082906860208	6.0
23.0	-8292.9209260734	-1458.8451012261976	6.0
24.0	-8186.417218972422	-1314.0394178124527	6.0
25.0	-8093.059043383871	-1289.2834894335597	6.0
26.0	-8183.02322260125	-1185.9926567991836	6.0
27.0	-8138.568446648194	-1293.3066062170344	6.0
28.0	-8081.702272779324	-1400.7758169014312	6.0
29.0	-8186.956403312942	-1563.1849817132575	6.0
30.0	-8158.383068220016	-1577.0999412359622	6.0
31.0	-8115.241673928507	-1621.1282850621835	6.0
32.0	-8003.0557475836695	-1484.442347024627	6.0
33.0	-8016.26546220356	-1545.8031471576323	6.0
34.0	-8042.458592117846	-1569.0969170991998	6.0
35.0	-7984.527167384819	-1573.3334380033466	6.0
36.0	-7955.484571262996	-1521.2864434796231	6.0
37.0	-8046.158210610809	-1671.9450818968376	6.0
38.0	-8078.416657212294	-1646.3228031367687	6.0
39.0	-8085.325406318022	-1654.2690825825846	6.0
40.0	-8188.463200320841	-1624.6845538823245	6.0
41.0	-8178.139148977388	-1538.379927341426	6.0
42.0	-8300.511435954486	-1580.9858396694692	6.0
43.0	-8277.593309307662	-1589.5851109038895	6.0
44.0	-8307.367658612176	-1553.045273841309	6.0
45.0	-8312.42125751478	-1553.1290683879847	6.0
46.0	-8253.282483341623	-1369.810773619557	6.0
47.0	-8257.935534424103	-1361.1157920885207	6.0
48.0	-8273.842104542378	-1251.035230027787	6.0
49.0	-8294.304407750395	-1297.9433511962854	6.0
50.0	-8176.065516823159	-1413.7582671111822	6.0
51.0	-8337.039955919827	-1337.0406249660152	6.0
52.0	-8310.830771953179	-1471.1976174104223	6.0
53.0	-8222.673143136517	-1399.3383555431797	6.0
54.0	-8198.002906726491	-1396.8745235392146	6.0
55.0	-8127.6096171452455	-1388.242630802481	6.0
56.0	-8068.727809890712	-1333.4572860808216	6.0
57.0	-8075.855946602471	-1343.9658996596336	6.0
58.0	-8223.996905295555	-1454.2866237638364	6.0
59.0	-8210.60845221996	-1355.754843008388	6.0
60.0	-8216.900150243226	-1362.6750095003226	6.0
61.0	-8101.601130094459	-1271.0209298286811	6.0
62.0	-8194.290081362877	-1275.1880350560975	6.0
63.0	-8230.704822117907	-1166.0763707185954	6.0
64.0	-8275.4222441938	-1121.5309020904297	6.0
